"%1 (From-To)","%1(起/訖)"
"Taiwan invoice format: 2 uppercase letters + 8 digits","台灣發票格式：2 個大寫字母 + 8 個數字"
"Tax ID Number","統一編號"
"The field is required","欄位必填"
"The format of from/to time is incorrect","from, to 時間格式有誤"
"This field has a value. Are you sure you want to delete it?","此欄位有值。您確定要刪除它嗎？"
"This is a required field","此欄位必填"
"Ticket Serial Number","票券序號"
"Ticket Status","票券狀態"
"Ticket Establishment Date","票券成立日"
"To:","至："
"Total Payment Amount","總付款額"
"Unable to determine record id.","無法識別該筆記錄的 ID。"
"Unable to determine the record for exception authorization.","無法判定要進行例外授權的資料。"
"Unlock Checkout","解除結帳"
"Unlock failed: Network error","解鎖失敗：網路錯誤"
"Unredeemed","未核銷"
"Vendor Invoice Number","廠商發票號碼"
"Vendor Statement","廠商對帳"
"Vendor statement downloaded successfully.","下載廠商對帳單成功。"
"Verification Date (From-To)","核銷日期(起/訖)"
"Verification Date","核銷日期"
"Verification Expiration Date (From-To)","核銷到期日(起/訖)"
"Verification Expiration Date","核銷到期日"
"Verified","已核銷"
"Voucher Reconciliation Area","票券對帳專區"
"Warning","警告"
"Yes","是"
