"Please enter no more than {0} characters.", "請輸入{0}字數以內暱稱"
"Please enter a valid date.", "請輸入有效生日日期"
"Please enter a valid ID number.", "請輸入有效的身份證號碼"
"Sure", "確定"
"Cancel", "取消"
"Preorder", "預購"
"Electronic Tickets", "電子票券線上出票"
"Introduction", "商品簡介"
"Product Sku", "商品編號"
"Export Product Name","商品名稱"
"Promotions", "優惠活動"
"Manufacturer", "出貨廠商"
"Giveaway", "贈品"
"Event", "活動"
"Recommendation", "賣家推薦"
"Related tags", "商品相關標籤"
"Delivery method", "配送方式"
"%1 units sold","已售出 %1 件"
"Over %1 units sold", "已售出超過 %1 件"
"Points %1 discount is not applicable", "不適用點數%1折抵"
"Maximum deduction %1 , final price %2", "最高可折%1, 折後價格%2"
"A minimum of %1 points is required to purchase this product.", "此商品需至少%1才可購買"
"Discount up to %1 , price after discount is %2", "最高可折抵%1, 折抵後價格%2"
"Points %1 only, full discount", "僅限點數%1全額折抵"
"In stock < 10 pieces", "庫存< 10 件"
"Share", "分享"
"URL copied", "已複製網址"
"You added %1 to your <a href=""%2"">shopping cart</a>.", "已將商品加入購物車"
"You added %1 to your shopping cart.","已將商品加入購物車"
"Home", "首頁"
"Buy Now", "立即購買"
"Add to Cart", "加入購物車"
"Add to cart", "加入購物車"
"Adding...", "添加..."
"Added", "額外"
"Buying...", "購買..."
"Bought", "買"
"Qty", "數量"
"View all", "查看全部"
"Specification", "商品規格"
"Details", "商品介紹"
"Add to Wish List", "追蹤"
"%1 in total", "共 %1 個"
"Item Count", "商品明細"
"Apply Discount Code","使用折扣碼"
"Enter discount code","請輸入折扣碼"
"Apply Discount","確定"
"Cancel Coupon","移除"
"Remove Discount","移除"
"Summary","訂單摘要"
"Subtotal","商品總金額"
"Order Total","商品總金額"
"Proceed to Checkout","點數折抵 / 結帳"
"Payment method", "付款方式"
"Discount (%1)","折扣明細"
"Shipping","物流方式"
"Order Summary", "訂單摘要"
"Cart Subtotal", "商品總金額"
"Cancel", "取消",
"Preorder", "預購",
"Use Point","確認"
"Invalid point.","請輸入範圍內點數"
"Place Order","確認付款"
"Apply Point Discount", "付款資訊"
"Exchange failed","換貨失敗"
"Return failed","退貨失敗"
"Limit 300 characters", "限300字元"
"If you have not received the goods, please contact the seller.", "若還沒有收到貨，請聯繫賣家。",
"The actual refund date is subject to the issuing bank's processing time.","實際退款日期依照各發卡銀行為準",
"Using 3D verification for payment can reduce fraud disputes and increase your payment security.","使用3D驗證進行付款可減少盜刷爭議，增加您的支付安全。"
"No Credit Card", "尚未綁定信用卡"
"Setup HotaiPay Payment Credit Card","新增信用卡"
"Text information for Point", "折抵點數"
"Limit point to apply is", "本筆訂單折抵限制"
"point", "點"
"Order value","商品總金額"
"discount","折抵"
"discounted","已折抵"
"You currently have %1 points available.", "您目前可用 %1 點"
"If you have received the product, please package it properly and wait for the delivery personnel to collect it. If you have not yet received the product, please refuse the delivery when it arrives. Thank you!","若已收到商品，請妥善包裝退換貨商品，等待宅配人員上門取件；若尚未收到商品，當商品抵達時，請拒收，謝謝！"
"Return or exchange application","退換貨申請"
"Apply Rma","送出申請"
"Cancel Apply Rma","再考慮一下"
"Points will be refunded immediately if the order is canceled, and the refund will take 7-14 working days to be returned to the original bank (depending on the card-issuing bank).","取消訂單立即退還點數，退款則需7-14個工作天退回原刷卡銀行(依發卡銀行而定)。"
"After the returned goods are recovered and checked correctly, the platform completes the return process and the points will be returned immediately; refunds will take 7-14 working days to be returned to the original card bank (depending on the card-issuing bank).","退貨商品收回檢查無誤後，平台完成退貨程序，點數將立即退回；退款則需7-14個工作天退回原刷卡銀行(依發卡銀行而定)。"
"Points expire during the return period and will no longer be reissued. If you have any concerns, it is recommended to use [Exchange] to avoid damage to your rights and interests.","點數於退貨期間過期，不再補發點數，如有此疑慮建議使用【換貨】避免權益受損。"
"If the returned order is offset by using a coupon, the coupon will not be reissued.","若退貨的訂單有使用優惠券折抵，將不再補發優惠卷。"
"Please handle returns within the seven-day hesitation period. (The hesitation period is not a trial period). When returning the product, it must be returned to the original state when you received the product (including accessories, internal and external packaging, related documents, gifts, etc.). If the return is incomplete, the refund will be subject to an appropriate fee. For detailed regulations, please see the return and exchange regulations."," 退貨請於七天猶豫期內辦理。（猶豫期非試用期），商品退貨時必須回復至您收到商品時的原始狀態 (包含附件、內外包裝、相關文件、贈品等)。若退貨不完全，退款將扣除適當費用。詳細規定請查看 退換貨規定。"
"Color", "顏色"
"Address Book","地址管理"
"Discount","折扣明細"
"The coupon code isn't valid. Verify the code and try again.","請輸入有效折扣碼並確認是否已登入"
"Price Change Alert","商品價格異動通知"
"Go to shopping cart","前往購物車"
"Color", "顏色"
"My Account", "會員資料"
"Order has been established", "訂單已成立"
"Dear member of Hetai Group, thank you for your order. You have completed the transaction process of this order. We will process the order and arrange shipment for you as soon as possible!", "親愛的和泰集團會員，感謝您的訂購， 您已經完成本筆訂單交易程序，我們會盡快為您處理訂單並安排出貨！"
"We'll email you an order confirmation with details and tracking info.", "我們將透過電子郵件向您發送訂單確認函，其中包含詳細資訊和追蹤資訊。"
"Payment failed", "付款失敗"
"Please check if your network connection is stable or if there is an issue with the payment method you have selected.", "請確認網路環境連線狀態是否穩定，或是目前選擇的付款方式系統發生問題。"
"If the problem is not due to the above reasons, please click the button below to try again or call customer service, and we will assist you with the issue.", "若您的問題非以上原因，請點擊下方按鈕重新嘗試或撥打客服電話，我們將協助處理您所遇到的問題。"
"Browsing History", "瀏覽紀錄"
"Delete All", "全部刪除"
"Total %1 records","共 %1 樣商品"
"Delete all browsing history?","是否將瀏覽紀錄全部刪除？"
"OK","確定"
"Load More","顯示更多"
"Check pending payment order", "查詢待付款訂單"
"The order was not successful!", "訂單未成功！"
"Address Book","地址管理"
"Don’t keep the good stuff waiting too long, take it home quickly!", "別讓好東西等太久，快點帶回家吧！"
"Return to cart", "返回購物車"
"Purchase Details", "購物明細"
"Go to my tickets", "前往我的票券"
"Order Information", "訂單資訊"
"Buyer", "購買人"
"Mall ID", "商城ID"
"Payment Status", "付款狀態"
"Invoice information", "發票資訊"
"Order Date", "訂單成立時間"
"Amount Paid", "實付金額"
"Points Discount", "點數折抵"
"Shipping Fee", "運費"
"Total Amount", "商品總額"
"Order Note", "訂單備註"
"Download PDF", "下載PDF"
"Check Order", "查詢訂單"
"Recipient Information", "收件人資訊"
"Phone Number", "手機號碼"
"Shipping Method", "物流方式"
"Pickup Method", "取貨方式"
"Normal", "常溫"
"Normal Temperature", "常溫"
"Refrigerated","冷藏"
"Frozen","冷凍"
"normal", "常溫"
"refrigerated","冷藏"
"frozen","冷凍"
"virtual","電子票券"
"preorder","預購"
"preorder_normal","預購"
"preorder_frozen","預購"
"preorder_refrigerated","預購"
"preorder_virtual","預購"
"Address", "地址"
"Name", "姓名"
"Electronic tickets", "電子票券"
"Electronic ticket", "電子票券"
"Remove item", "刪除"
"Move to Wishlist", "加入追蹤"
"Checkout","訂單資訊"
"Delete All", "全部刪除"
"Total %1 records","共 %1 樣商品"
"Delete all wishlist?","是否將追蹤清單全部刪除？"
"Do not enter full-width characters and special symbols.","請勿輸入包含全形以及特殊的符號"
"Personal Notifications", "個人通知"
"All","全部"
"My Notification","通知"
"Select city or district","鄉鎮市區"
"%1 has been added to your Wish List.", "已將商品加入追蹤"
"%1 has been removed from your Wish List.", "已取消追蹤商品"
"Restocking", "補貨中"
"Cart update failed, please try again.","購物車更新失敗，請重試。"
"Estimated shipping on %s", "預計%s出貨"
"%s day later", "%s天"
"%s days later", "%s天"
"Estimated shipping %s ordering.", "預計下單後%s出貨"
"Notify me when this product is in stock","該產品有貨時通知我"
"at the price  %s, over  %s free shipping", "%s, 滿%s免運"
Payment Information,支付方式,
"Card expired, please contact your card issuer.","卡片已失效，請洽詢發卡行"
"Cancel Return Request","取消退貨申請",module,Branch8_Rma
"Confirm Cancellation","確認取消",module,Branch8_Rma
"Cancel Exchange Request","取消換貨申請",module,Branch8_Rma
"Think Again","再考慮一下",module,Branch8_Rma
"Apply for Return or Exchange","申請退換貨",module,Branch8_Rma
"Completed Editing","已修改完成"
Point Discount,點數折抵,module,Branch8_Marketplace
Refunded Point,退還點數
The Pre-ordered Product You’re Interested In is Now In Stock,您感興趣的預購商品已有庫存,module,Webkul_MarketplacePreorder
"Hi %customer_name","親愛的%customer_name您好",module,Webkul_MarketplacePreorder
"Currently, %product_name is in stock. Feel free to make a purchase.","您感興趣的%product_name已經有現貨，歡迎選購。",module,Webkul_MarketplacePreorder
"You have a new return request notification","您有新的訂單退貨申請通知信"
"You have a new exchange request notification","您有新的訂單換貨申請通知信"
"Backend-initiated order cancellation/return notification","後台主動取消訂單/退貨信"
"HOTAI Unread Chat Notification","聊聊未讀通知",
"You have 1 unread chat message on HOTAI. Please reply to the buyer as soon as possible.","您在HOTAI購有1封未讀聊天訊息，請盡快回覆買家"
"This is an automated email from HOTAI. Please do not reply directly to this email.","HOTAI購商城自動信件，請勿直接回覆此信"
"Deleted", "已刪除"
"Products related to this", "與此相關的商品"
"Sorry, there was an operation error. Please try again later or contact customer service. Order Number:{%1（%2）}","很抱歉，操作錯誤。請稍後再嘗試或聯繫客服。訂單編號：{%1（%2）}"
"Single-order limit: %1 units per product (including all variants)","同商品(含所有規格)單筆限購 %1 件"
"Bonus rewards: Max 800 points per card/month.","加碼回饋每卡上限800點/月"
